,0,1,cancer_type
TCGA-22-A5C4-01A,-2.0408883,-19.931425,TCGA-LUSC
TCGA-26-1442-01A,-22.832754,6.1977677,TCGA-GBM
TCGA-26-5132-01A,-15.267969,13.159966,TCGA-GBM
TCGA-26-5133-01A,-14.639661,13.590309,TCGA-GBM
TCGA-26-5134-01A,26.84589,-2.453086,TCGA-GBM
TCGA-26-5135-01A,-14.278391,12.233842,TCGA-GBM
TCGA-26-5136-01B,-14.0746765,12.503593,TCGA-GBM
TCGA-26-5139-01A,-14.37884,12.239443,TCGA-GBM
TCGA-28-2510-01A,-13.878632,11.070853,TCGA-GBM
TCGA-28-5204-01A,-14.26804,13.481085,TCGA-GBM
TCGA-28-5207-01A,-13.887468,12.711729,TCGA-GBM
TCGA-28-5208-01A,-14.023366,13.584924,TCGA-GBM
TCGA-28-5209-01A,-14.001715,13.705002,TCGA-GBM
TCGA-28-5213-01A,-13.450384,12.61254,TCGA-GBM
TCGA-28-5215-01A,-14.448593,11.9204445,TCGA-GBM
TCGA-28-5216-01A,-13.421145,13.389722,TCGA-GBM
TCGA-28-5218-01A,-12.996337,13.113558,TCGA-GBM
TCGA-28-5220-01A,-13.492645,13.391544,TCGA-GBM
TCGA-29-A5NZ-01A,-6.725048,-18.228912,TCGA-OV
TCGA-2A-A8VL-01A,-37.719494,-9.746345,TCGA-PRAD
TCGA-2A-A8VO-01A,-29.079985,-11.270103,TCGA-PRAD
TCGA-2A-A8VT-01A,-32.931477,-14.166268,TCGA-PRAD
TCGA-2A-A8VV-01A,-28.78448,-6.1009774,TCGA-PRAD
TCGA-2A-A8VX-01A,-26.787592,-10.053899,TCGA-PRAD
TCGA-2A-A8W1-01A,-28.854548,-11.723561,TCGA-PRAD
TCGA-2A-A8W3-01A,-34.59199,-10.237278,TCGA-PRAD
TCGA-2A-AAYF-01A,-28.847994,-11.486959,TCGA-PRAD
TCGA-2A-AAYO-01A,-31.993153,-12.589163,TCGA-PRAD
TCGA-2A-AAYU-01A,-33.87795,-14.49263,TCGA-PRAD
TCGA-2E-A9G8-01A,18.378717,-6.852979,TCGA-UCEC
TCGA-2F-A9KO-01A,8.287875,-1.4698879,TCGA-BLCA
TCGA-2F-A9KP-01A,11.001199,-1.5934411,TCGA-BLCA
TCGA-2F-A9KQ-01A,13.198618,-0.8698182,TCGA-BLCA
TCGA-2F-A9KR-01A,13.699853,-5.7473617,TCGA-BLCA
TCGA-2F-A9KT-01A,10.639788,-0.3226331,TCGA-BLCA
TCGA-2F-A9KW-01A,11.159082,0.5776053,TCGA-BLCA
TCGA-2G-AAEW-01A,-17.048119,18.410208,TCGA-TGCT
TCGA-2G-AAEX-01A,-16.551592,18.893888,TCGA-TGCT
TCGA-2G-AAF1-01A,-15.976335,19.18594,TCGA-TGCT
TCGA-2G-AAF4-01A,-16.370457,19.179031,TCGA-TGCT
TCGA-2G-AAF6-01A,-16.920116,18.735312,TCGA-TGCT
TCGA-2G-AAF8-01A,-16.02059,19.894266,TCGA-TGCT
TCGA-2G-AAFE-01A,-16.94823,18.238554,TCGA-TGCT
TCGA-2G-AAFG-01A,-16.455074,19.522825,TCGA-TGCT
TCGA-2G-AAFG-05A,-15.898021,19.531406,TCGA-TGCT
TCGA-2G-AAFH-01A,-16.107256,19.562374,TCGA-TGCT
TCGA-2G-AAFI-01A,3.697782,17.194067,TCGA-TGCT
TCGA-2G-AAFJ-01A,1.9969016,14.916279,TCGA-TGCT
TCGA-2G-AAFL-01A,1.9801975,17.601229,TCGA-TGCT
TCGA-2G-AAFM-01A,2.3085988,17.57093,TCGA-TGCT
TCGA-2G-AAFN-01A,4.305902,17.461267,TCGA-TGCT
TCGA-2G-AAFO-01A,2.013485,17.57821,TCGA-TGCT
TCGA-2G-AAFV-01A,20.104685,-2.1692245,TCGA-TGCT
TCGA-2G-AAFY-01A,3.4128692,17.54452,TCGA-TGCT
TCGA-2G-AAFZ-01A,2.2995594,14.955755,TCGA-TGCT
TCGA-2G-AAG0-01A,3.6179268,17.463438,TCGA-TGCT
TCGA-2G-AAG3-01A,5.7402616,-16.789942,TCGA-TGCT
TCGA-2G-AAG5-01A,1.9243864,15.057589,TCGA-TGCT
TCGA-2G-AAG6-01A,1.8972325,14.859689,TCGA-TGCT
TCGA-2G-AAG7-01A,4.1181684,16.861193,TCGA-TGCT
TCGA-2G-AAG8-01A,2.1005847,17.631924,TCGA-TGCT
TCGA-2G-AAG9-01A,-17.019611,18.320438,TCGA-TGCT
TCGA-2G-AAGA-01A,2.8842478,17.836176,TCGA-TGCT
TCGA-2G-AAGC-01A,2.7998195,15.847738,TCGA-TGCT
TCGA-2G-AAGE-01A,3.7166424,17.438028,TCGA-TGCT
TCGA-2G-AAGF-01A,3.739751,16.883125,TCGA-TGCT
TCGA-2G-AAGG-01A,2.4013271,15.463184,TCGA-TGCT
TCGA-2G-AAGI-01A,2.6653826,15.309443,TCGA-TGCT
TCGA-2G-AAGI-05A,-16.624136,19.50178,TCGA-TGCT
TCGA-2G-AAGJ-01A,3.5532131,17.576057,TCGA-TGCT
TCGA-2G-AAGK-01A,3.0922937,16.432734,TCGA-TGCT
TCGA-2G-AAGM-01A,2.8065145,15.459084,TCGA-TGCT
TCGA-2G-AAGN-01A,3.93303,17.703835,TCGA-TGCT
TCGA-2G-AAGO-01A,3.6804075,17.455273,TCGA-TGCT
TCGA-2G-AAGP-01A,1.8835541,16.079754,TCGA-TGCT
TCGA-2G-AAGS-01A,3.8953683,16.120474,TCGA-TGCT
TCGA-2G-AAGT-01A,19.934141,-2.0452738,TCGA-TGCT
TCGA-2G-AAGV-01A,1.770315,14.726596,TCGA-TGCT
TCGA-2G-AAGW-01A,4.240833,17.005894,TCGA-TGCT
TCGA-2G-AAGX-01A,2.0315108,14.965303,TCGA-TGCT
TCGA-2G-AAGY-01A,2.050467,14.897932,TCGA-TGCT
TCGA-2G-AAGY-05A,-17.582045,17.680653,TCGA-TGCT
TCGA-2G-AAGZ-01A,1.874973,17.30257,TCGA-TGCT
TCGA-2G-AAH0-01A,-16.794193,18.81658,TCGA-TGCT
TCGA-2G-AAH2-01A,2.4380186,15.744262,TCGA-TGCT
TCGA-2G-AAH3-01A,-17.639805,18.753794,TCGA-TGCT
TCGA-2G-AAH4-01A,2.6731594,15.55417,TCGA-TGCT
TCGA-2G-AAH8-01A,-17.49641,17.599874,TCGA-TGCT
TCGA-2G-AAHA-01A,-16.935587,17.990135,TCGA-TGCT
TCGA-2G-AAHC-01A,-15.749877,19.444082,TCGA-TGCT
TCGA-2G-AAHG-01A,-17.627768,17.791042,TCGA-TGCT
TCGA-2G-AAHL-01A,-16.083784,17.602789,TCGA-TGCT
TCGA-2G-AAHN-01A,-15.169757,18.59277,TCGA-TGCT
TCGA-2G-AAHP-01A,-17.457607,17.402014,TCGA-TGCT
TCGA-2G-AAHP-05A,-16.86761,19.015762,TCGA-TGCT
TCGA-2G-AAHT-01A,-17.111834,17.829393,TCGA-TGCT
TCGA-2G-AAKD-01A,4.166711,17.545473,TCGA-TGCT
TCGA-2G-AAKG-01A,3.4897742,16.858791,TCGA-TGCT
TCGA-2G-AAKG-05A,18.972649,18.272474,TCGA-TGCT
TCGA-2G-AAKH-01A,-15.647152,19.683052,TCGA-TGCT
TCGA-2G-AAKL-01A,3.9399667,17.62604,TCGA-TGCT
TCGA-2G-AAKM-01A,3.7415802,17.188904,TCGA-TGCT
TCGA-2G-AAKO-01A,-16.471233,19.676294,TCGA-TGCT
TCGA-2G-AAKO-05A,-16.557594,19.657318,TCGA-TGCT
TCGA-2G-AAL5-01A,2.347968,14.993829,TCGA-TGCT
TCGA-2G-AAL7-01A,4.2153134,17.62658,TCGA-TGCT
TCGA-2G-AALF-01A,19.746822,-1.8784125,TCGA-TGCT
TCGA-2G-AALG-01A,2.3519623,16.877344,TCGA-TGCT
TCGA-2G-AALN-01A,2.9251864,16.641811,TCGA-TGCT
TCGA-2G-AALO-01A,2.3784578,15.64205,TCGA-TGCT
TCGA-2G-AALP-01A,3.4069831,16.818457,TCGA-TGCT
TCGA-2G-AALQ-01A,20.513378,-2.5409493,TCGA-TGCT
TCGA-2G-AALR-01A,20.664024,-2.5520546,TCGA-TGCT
TCGA-2G-AALS-01A,1.8999758,17.030136,TCGA-TGCT
TCGA-2G-AALT-01A,2.6997733,16.645098,TCGA-TGCT
TCGA-2G-AALW-01A,2.5297778,15.367652,TCGA-TGCT
TCGA-2G-AALX-01A,2.1438973,15.068078,TCGA-TGCT
TCGA-2G-AALY-01A,2.846222,16.619083,TCGA-TGCT
TCGA-2G-AALZ-01A,1.8209506,14.852751,TCGA-TGCT
TCGA-2G-AAM2-01A,4.1797533,16.972332,TCGA-TGCT
TCGA-2G-AAM3-01A,1.8859627,14.8328705,TCGA-TGCT
TCGA-2G-AAM4-01A,4.083452,16.864147,TCGA-TGCT
TCGA-2H-A9GF-01A,-11.289748,-27.150204,TCGA-ESCA
TCGA-2H-A9GG-01A,-11.0902195,-27.798666,TCGA-ESCA
TCGA-2H-A9GH-01A,-13.206407,-22.395777,TCGA-ESCA
TCGA-2H-A9GI-01A,-14.195078,-22.156015,TCGA-ESCA
TCGA-2H-A9GJ-01A,-9.703803,-27.720175,TCGA-ESCA
TCGA-2H-A9GK-01A,-12.635997,-21.332094,TCGA-ESCA
TCGA-2H-A9GL-01A,-15.973867,-19.956404,TCGA-ESCA
TCGA-2H-A9GM-01A,-14.653662,-20.607462,TCGA-ESCA
TCGA-2H-A9GN-01A,-12.067054,-27.571154,TCGA-ESCA
TCGA-2H-A9GO-01A,-9.070536,-20.410175,TCGA-ESCA
TCGA-2H-A9GQ-01A,-7.351642,-20.677803,TCGA-ESCA
TCGA-2H-A9GR-01A,-14.380185,-18.429077,TCGA-ESCA
TCGA-2J-AAB1-01A,0.3487197,9.907573,TCGA-PAAD
TCGA-2J-AAB4-01A,-1.5966156,10.864011,TCGA-PAAD
TCGA-2J-AAB6-01A,2.6926544,9.7568035,TCGA-PAAD
TCGA-2J-AAB8-01A,0.102669954,10.97168,TCGA-PAAD
TCGA-2J-AAB9-01A,-4.242572,10.394543,TCGA-PAAD
TCGA-2J-AABA-01A,-1.3147038,10.200895,TCGA-PAAD
TCGA-2J-AABE-01A,-0.12555376,10.809368,TCGA-PAAD
TCGA-2J-AABF-01A,-1.356769,10.579421,TCGA-PAAD
TCGA-2J-AABH-01A,-0.25600934,10.483615,TCGA-PAAD
TCGA-2J-AABI-01A,1.3006961,9.311732,TCGA-PAAD
TCGA-2J-AABK-01A,-2.0256534,10.944654,TCGA-PAAD
TCGA-2J-AABO-01A,2.3065145,9.700936,TCGA-PAAD
TCGA-2J-AABP-01A,5.8062224,7.819397,TCGA-PAAD
TCGA-2J-AABR-01A,-3.5369575,9.444597,TCGA-PAAD
TCGA-2J-AABT-01A,-3.6200612,9.539523,TCGA-PAAD
TCGA-2J-AABU-01A,2.2141802,11.161971,TCGA-PAAD
TCGA-2J-AABV-01A,13.343389,29.845936,TCGA-PAAD
TCGA-2K-A9WE-01A,-5.579468,25.177765,TCGA-KIRP
TCGA-2L-AAQA-01A,1.4808651,10.450838,TCGA-PAAD
TCGA-2L-AAQE-01A,0.13990176,10.275337,TCGA-PAAD
TCGA-2L-AAQI-01A,-1.4715825,10.453002,TCGA-PAAD
TCGA-2L-AAQJ-01A,0.63004464,8.8103,TCGA-PAAD
TCGA-2L-AAQL-01A,1.7700188,7.7147126,TCGA-PAAD
TCGA-2L-AAQM-01A,3.1086993,22.16611,TCGA-PAAD
TCGA-2V-A95S-01A,11.362957,19.08835,TCGA-LIHC
TCGA-2W-A8YY-01A,17.26758,-15.389101,TCGA-CESC
TCGA-2X-A9D5-01A,-16.944317,18.901236,TCGA-TGCT
TCGA-2X-A9D6-01A,-16.809986,19.27954,TCGA-TGCT
TCGA-2Y-A9GS-01A,9.685789,21.785028,TCGA-LIHC
TCGA-2Y-A9GT-01A,12.547842,20.97462,TCGA-LIHC
TCGA-2Y-A9GU-01A,17.519049,20.730106,TCGA-LIHC
TCGA-2Y-A9GV-01A,10.807203,21.172352,TCGA-LIHC
TCGA-2Y-A9GW-01A,12.260426,19.34918,TCGA-LIHC
TCGA-2Y-A9GX-01A,11.9081745,18.594463,TCGA-LIHC
TCGA-2Y-A9GY-01A,9.356171,20.003511,TCGA-LIHC
TCGA-2Y-A9GZ-01A,8.868062,23.863684,TCGA-LIHC
TCGA-2Y-A9H0-01A,9.609083,23.42002,TCGA-LIHC
TCGA-2Y-A9H1-01A,13.952413,23.831947,TCGA-LIHC
TCGA-2Y-A9H2-01A,16.925797,16.369791,TCGA-LIHC
TCGA-2Y-A9H3-01A,14.1872015,18.013163,TCGA-LIHC
TCGA-2Y-A9H4-01A,13.537494,23.631536,TCGA-LIHC
TCGA-2Y-A9H5-01A,15.17886,17.28078,TCGA-LIHC
TCGA-2Y-A9H6-01A,15.44658,17.126017,TCGA-LIHC
TCGA-2Y-A9H7-01A,15.071505,22.618423,TCGA-LIHC
TCGA-2Y-A9H8-01A,15.480921,17.584383,TCGA-LIHC
TCGA-2Y-A9H9-01A,11.3839035,23.81788,TCGA-LIHC
TCGA-2Y-A9HA-01A,9.523056,22.254837,TCGA-LIHC
TCGA-2Y-A9HB-01A,12.849625,21.104002,TCGA-LIHC
TCGA-2Z-A9J1-01A,-4.828477,29.32253,TCGA-KIRP
TCGA-2Z-A9J2-01A,20.654598,12.600859,TCGA-KIRP
TCGA-2Z-A9J3-01A,-5.537175,30.3767,TCGA-KIRP
TCGA-2Z-A9J5-01A,-2.9818761,28.213154,TCGA-KIRP
TCGA-2Z-A9J6-01A,-6.7741504,28.42715,TCGA-KIRP
TCGA-2Z-A9J7-01A,-4.2471294,31.095627,TCGA-KIRP
TCGA-2Z-A9J8-01A,-5.6071057,30.45379,TCGA-KIRP
TCGA-2Z-A9J9-01A,-9.274669,21.472143,TCGA-KIRP
TCGA-2Z-A9JD-01A,-5.1474137,28.44185,TCGA-KIRP
TCGA-2Z-A9JE-01A,-3.4374974,30.707483,TCGA-KIRP
TCGA-2Z-A9JG-01A,-6.467725,25.887157,TCGA-KIRP
TCGA-2Z-A9JI-01A,-5.401831,14.342937,TCGA-KIRP
TCGA-2Z-A9JJ-01A,-9.489462,26.775883,TCGA-KIRP
TCGA-2Z-A9JK-01A,-5.9200673,17.407839,TCGA-KIRP
TCGA-2Z-A9JL-01A,-6.0526586,26.992157,TCGA-KIRP
TCGA-2Z-A9JM-01A,-6.4702682,28.12523,TCGA-KIRP
TCGA-2Z-A9JN-01A,-9.637253,32.805878,TCGA-KIRP
TCGA-2Z-A9JO-01A,-9.604391,25.239363,TCGA-KIRP
TCGA-2Z-A9JP-01A,-2.7173944,27.63042,TCGA-KIRP
TCGA-2Z-A9JQ-01A,21.552807,12.332028,TCGA-KIRP
TCGA-2Z-A9JR-01A,-6.7847366,27.844732,TCGA-KIRP
TCGA-2Z-A9JS-01A,-6.903197,28.285002,TCGA-KIRP
TCGA-2Z-A9JT-01A,21.403202,12.479191,TCGA-KIRP
TCGA-32-1980-01A,-13.877777,11.088348,TCGA-GBM
TCGA-32-5222-01A,-14.09681,13.531751,TCGA-GBM
TCGA-33-4566-01A,3.4514773,-1.174591,TCGA-LUSC
TCGA-33-4582-01A,-1.298518,-27.24897,TCGA-LUSC
TCGA-33-4583-01A,3.5500257,-26.875425,TCGA-LUSC
TCGA-33-4586-01A,-0.881657,-25.318869,TCGA-LUSC
TCGA-33-4587-01A,-5.46518,-14.323624,TCGA-LUSC
TCGA-33-4589-01A,11.206579,-19.912477,TCGA-LUSC
TCGA-33-6737-01A,-0.20645502,-5.9398103,TCGA-LUSC
TCGA-33-6738-01A,4.2155337,-23.910786,TCGA-LUSC
TCGA-33-A4WN-01A,0.39279008,-17.183008,TCGA-LUSC
TCGA-33-A5GW-01A,-0.5455606,-25.322517,TCGA-LUSC
TCGA-33-AAS8-01A,2.4220073,-27.6789,TCGA-LUSC
TCGA-33-AASB-01A,-1.202899,-12.158342,TCGA-LUSC
TCGA-33-AASD-01A,-0.34787792,-25.282486,TCGA-LUSC
TCGA-33-AASI-01A,3.2695708,-5.521084,TCGA-LUSC
TCGA-33-AASJ-01A,-2.2127328,-24.363081,TCGA-LUSC
TCGA-33-AASL-01A,-3.0656419,-20.684721,TCGA-LUSC
TCGA-34-5231-01A,5.525952,-29.308668,TCGA-LUSC
TCGA-34-5232-01A,3.079896,-14.732853,TCGA-LUSC
TCGA-34-5234-01A,1.1050674,-12.018499,TCGA-LUSC
TCGA-34-5236-01A,-1.7066193,-17.887291,TCGA-LUSC
TCGA-34-5239-01A,-0.31131053,-19.210499,TCGA-LUSC
TCGA-34-5240-01A,-0.9902357,-25.600183,TCGA-LUSC
TCGA-34-5241-01A,-2.6791518,-18.445631,TCGA-LUSC
TCGA-34-5927-01A,6.7136583,-29.560337,TCGA-LUSC
TCGA-34-5928-01A,1.4503493,-13.759777,TCGA-LUSC
TCGA-34-5929-01A,6.751744,-29.551079,TCGA-LUSC
TCGA-34-7107-01A,1.2352315,-24.629202,TCGA-LUSC
TCGA-34-8454-01A,1.5172646,-13.152392,TCGA-LUSC
TCGA-34-8455-01A,-2.6118457,-14.005694,TCGA-LUSC
TCGA-34-8456-01A,2.241653,-27.554247,TCGA-LUSC
TCGA-34-A5IX-01A,-2.4582758,-12.375837,TCGA-LUSC
TCGA-35-5375-01A,-5.581304,-16.279436,TCGA-LUAD
TCGA-37-5819-01A,-2.0574915,-8.6765785,TCGA-LUSC
TCGA-37-A5EL-01A,0.6598313,-24.250723,TCGA-LUSC
