,feature_2,feature_14,feature_15,feature_17,feature_18,feature_19,feature_21,feature_23,feature_24,feature_26,feature_29,feature_31,feature_33,feature_35,feature_38,feature_45,feature_47,feature_51,feature_64,feature_65,feature_66,feature_67,feature_74,feature_79,feature_80,feature_81,feature_85,feature_86,feature_87,feature_89,feature_96
TCGA-GM-A5PX-01A,5.547436,1.6021743,1.9856791,0.0,3.3701687,6.9319816,10.642064,6.4594336,0.0,0.0,0.0,5.2979507,0.0,11.039021,1.9634986,5.273012,6.1627545,4.883488,2.3790588,0.0,3.430864,2.1708086,0.0,12.489908,8.954532,5.542251,1.1653548,3.6138356,0.0,5.2192626,4.1994057
TCGA-GN-A262-06A,7.8463783,0.0,6.6877623,12.071318,2.785162,14.274346,0.0,15.376238,0.0,15.028429,0.0,0.0,0.0,9.935502,15.557998,0.20320004,13.224548,14.714188,17.154934,0.0,0.0,11.544544,0.0,7.789551,7.3712864,2.3956118,2.5829368,1.6899687,0.0,0.93836695,18.635775
TCGA-GN-A263-01A,3.2797127,3.1118355,9.150249,1.6937551,2.8934436,13.03851,1.2819817,0.12214546,0.0,0.7502877,0.0,6.086226,0.0,0.2988244,4.466986,9.222645,8.069319,10.39872,7.035031,0.0,0.0,8.274597,4.1934156,4.022936,2.5918095,3.739832,3.4087827,0.08126491,0.0,0.0,6.935646
TCGA-GN-A264-06A,0.0,1.1366076,8.873142,10.802154,4.4678526,16.405561,5.3213778,4.7947063,0.8044506,3.4191802,0.0,4.063667,0.0,2.833262,11.699056,0.9113712,7.4444323,9.590068,15.246691,0.0,0.0,11.636956,0.0,3.4962947,4.3658624,0.0,3.1888595,9.627478,0.0,2.735476,14.427769
TCGA-GN-A265-06A,0.34353888,0.5856346,5.588611,0.97437626,8.405649,13.749274,4.422838,1.4143753,0.0,5.0965157,0.0,5.3886995,0.0,3.631217,3.108103,9.716999,3.3625705,7.487222,7.5302,0.0,2.1352115,1.8084732,1.0665424,2.6739202,0.5902229,4.1825633,4.8185625,2.6777039,0.0,0.9723681,5.7152185
TCGA-GN-A266-06A,3.2539384,3.9614842,6.906833,4.051758,6.0672746,13.679312,4.298079,2.9766738,2.385894,7.9775014,0.0,1.0826585,0.0,0.0,3.7022605,4.4350576,8.159038,5.2819066,6.420411,0.0,0.0,6.172076,0.0,1.5050311,0.0,4.439418,6.397194,0.8113372,0.0,6.0691605,9.147536
TCGA-GN-A267-06A,7.24349,3.3743353,12.320385,0.0,7.301045,13.114196,0.0,8.405759,0.0,8.61834,0.0,1.1055532,0.0,12.8642,10.283567,7.4975734,13.300529,5.568544,20.755249,0.0,0.0,2.7526162,0.0,5.7934003,6.871792,2.9111412,9.41616,16.868065,0.0,0.0,9.054649
TCGA-GN-A268-06A,0.6433674,2.823377,17.518232,8.119554,4.055229,12.994759,2.726087,8.934638,0.4966722,8.338535,0.0,0.0,0.0,10.416827,9.293632,1.2486296,0.0,8.193815,20.74575,0.0,0.0,21.557905,6.167644,5.1698055,6.893477,3.3796275,6.4219227,8.017708,0.0,0.0,11.133346
TCGA-GN-A26A-06A,1.4888502,3.9750092,14.662338,5.5684834,9.934931,8.408982,6.0741057,7.849971,0.8090777,7.222298,0.0,3.5468054,0.0,4.4402103,5.077804,7.2587976,7.844193,12.610177,6.9188676,0.0,0.34026778,4.4283533,0.0,0.0,6.478829,4.9617662,1.290113,2.2855227,0.0,2.2670808,11.805782
TCGA-GN-A26C-01A,3.010284,2.651791,5.237055,3.0741577,8.191681,13.496122,2.7246282,1.7074109,0.0,7.172156,0.0,1.4841914,0.0,3.358368,2.069904,9.426615,3.9944992,0.78630376,7.9608116,0.0,2.0088806,2.1180534,0.0,1.7145904,7.382855,7.7499394,5.297448,6.16845,0.0,2.1177242,5.7632666
TCGA-GN-A26D-06A,2.2308917,4.8591304,7.775717,6.824423,8.725261,16.47529,1.750379,15.571493,1.576716,7.348857,0.0,3.3489642,0.0,8.194411,13.768307,4.8126006,16.221962,4.851561,7.6405616,0.0,0.0,10.121984,0.0,2.0234766,4.2282176,4.1451764,6.9977336,9.491595,0.0,6.020405,13.823765
