,feature_2,feature_14,feature_15,feature_17,feature_18,feature_19,feature_21,feature_23,feature_24,feature_26,feature_29,feature_31,feature_33,feature_35,feature_38,feature_45,feature_47,feature_51,feature_64,feature_65,feature_66,feature_67,feature_74,feature_79,feature_80,feature_81,feature_85,feature_86,feature_87,feature_89,feature_96
TCGA-05-5428-01A,0.054349113,0.2831036,0.1766157,0.3117729,0.5985161,0.35116372,0.65297395,0.008827613,0.18807702,0.0,0.0,0.21920076,0.5762223,0.36603194,0.14094275,0.120142974,0.15592234,0.05087097,0.07297462,0.0,0.07759459,0.40474176,0.0,0.10595144,0.3023906,0.13299689,0.06038365,0.15467954,0.0,0.34019196,0.1705649
TCGA-05-5429-01A,0.34840614,0.120785564,0.29757315,0.081707045,0.46675807,0.16808766,0.34445056,0.044329587,0.30906367,0.0,0.0,0.04570535,0.49395594,0.24142008,0.060375176,0.09765097,0.16868767,0.0052229026,0.0,0.0,0.5667769,0.18816623,0.0,0.0,0.15007949,0.0,0.11691117,0.16327041,0.25671014,0.32646188,0.09358931
TCGA-05-5715-01A,0.20421194,0.20391648,0.22204989,0.24090852,0.46761426,0.13789672,0.5867997,0.34843993,0.0,0.0,0.0,0.30553094,0.47789487,0.50833595,0.18955277,0.24849847,0.19609004,0.0,0.0,0.0,0.49878058,0.21261233,0.0,0.07404832,0.26421022,0.38138723,0.04885547,0.39191705,0.0923344,0.2185148,0.0
TCGA-06-0125-01A,0.12906191,0.35276705,0.18973014,0.26389432,0.31512114,0.0,0.0,0.4166207,0.21616875,0.6495515,0.0,0.0,0.0,0.09290121,0.0,0.1768591,0.30465332,0.15128219,0.19102052,0.0,0.046139374,0.23267436,0.0752353,0.28411338,0.18452391,0.15541907,0.24321029,0.116183065,0.0,0.5136008,0.28344446
TCGA-06-0125-02A,0.061233565,0.31435934,0.2562847,0.2519827,0.35338458,0.2539916,0.04311829,0.43943328,0.1620227,0.5764437,0.0,0.0,0.0,0.11293443,0.0,0.27427313,0.23346218,0.05276333,0.1214407,0.0,0.06545718,0.114133656,0.0,0.24149413,0.14984962,0.069128856,0.17653403,0.16488169,0.0,0.26644677,0.14592205
TCGA-06-0152-02A,0.076586194,0.39786464,0.20714757,0.30670264,0.47546944,0.24427058,0.0,0.12336147,0.17498028,0.51079375,0.0,0.0,0.0,0.045501456,0.0,0.21284673,0.12178382,0.046769712,0.2392564,0.0,0.06060138,0.19549246,0.015326066,0.21120557,0.14882706,0.19812131,0.35868403,0.16939105,0.0,0.30623087,0.24739546
TCGA-06-0171-02A,0.07323346,0.23632725,0.2848391,0.20162502,0.49567354,0.36998188,0.0,0.14206299,0.07253448,0.30495813,0.0,0.004865756,0.0,0.04864153,0.0,0.5284289,0.22960624,0.0810242,0.23652628,0.0,0.109539025,0.025744768,0.0,0.18322112,0.030185174,0.29622814,0.23801963,0.18502678,0.0,0.18515821,0.0301268
TCGA-06-0190-01A,0.14173348,0.32298943,0.23087193,0.19776843,0.4577458,0.2471099,0.0,0.08046079,0.069180936,0.44046554,0.0,0.0,0.0,0.07949651,0.0,0.36584783,0.2938931,0.15654154,0.14965497,0.0,0.059425037,0.0056801294,0.0,0.23726651,0.14383148,0.12007901,0.18199252,0.12441755,0.0,0.25742742,0.14949968
TCGA-06-0190-02A,0.22838968,0.4147462,0.38321954,0.20933142,0.533513,0.37466696,0.094076045,0.06456231,0.0,0.50586605,0.0,0.042706583,0.0,0.13431342,0.0,0.4008402,0.23859362,0.12955561,0.17096022,0.0,0.03959724,0.0,0.0,0.17048194,0.1892458,0.09978428,0.217419,0.07478257,0.0,0.30205178,0.25031695
TCGA-06-0210-01A,0.07885689,0.30210647,0.2967615,0.24814336,0.27613464,0.18983394,0.047151573,0.2499228,0.15648086,0.60917777,0.0,0.0,0.0,0.022411041,0.0,0.17043695,0.20306337,0.20352955,0.12995686,0.0,0.0,0.05424907,0.15349586,0.18380086,0.09835588,0.23783483,0.23219697,0.0,0.0,0.3279271,0.2610158
TCGA-06-0210-02A,0.037750922,0.23948677,0.20813763,0.2234084,0.2717757,0.18118198,0.028153261,0.2984449,0.20857644,0.5519087,0.0,0.0,0.0,0.08364849,0.0,0.12179522,0.13178676,0.20776881,0.101017654,0.0,0.0,0.103596054,0.14471643,0.19788869,0.10422684,0.124186754,0.22575578,0.0,0.0,0.22842465,0.17838189
TCGA-06-0211-01A,0.032797776,0.36951074,0.23886548,0.29619896,0.42639557,0.20747048,0.0,0.07007472,0.13975821,0.5000007,0.0,0.0,0.0,0.030157002,0.0,0.21678948,0.19343118,0.09721464,0.2227361,0.0,0.010532259,0.19758613,0.0,0.20503108,0.0926123,0.17610261,0.28505033,0.11828153,0.0,0.30788615,0.23941365
TCGA-06-0211-02A,0.10775466,0.36026964,0.30313805,0.27334362,0.4741258,0.25922033,0.0,0.09745259,0.16285682,0.6080015,0.0,0.0,0.0,0.11855717,0.0,0.19764765,0.18234763,0.076263525,0.19744857,0.0,0.04588634,0.12631519,0.0,0.24571824,0.14516887,0.031723734,0.26442727,0.12791696,0.0,0.30479783,0.29750162
TCGA-06-0221-02A,0.046152484,0.0,0.17938715,0.42653835,0.23010845,0.14328775,0.0,0.16698098,0.20726873,0.6931243,0.0,0.0,0.0,0.08041721,0.0,0.10667593,0.00070959993,0.28677788,0.2897647,0.0,0.0,0.43347704,0.37300694,0.2863777,0.04503582,0.15576068,0.20300394,0.10179275,0.0,0.26453075,0.18521312
TCGA-06-1804-01A,0.20898378,0.3467246,0.04528832,0.3747293,0.32299915,0.08909479,0.0,0.415383,0.2535756,0.39033753,0.0,0.0,0.0,0.103140876,0.0,0.19979611,0.2949407,0.12154585,0.15566552,0.0,0.059552897,0.07114061,0.20315333,0.2831026,0.2016402,0.2966298,0.18559314,0.054201134,0.0,0.5665434,0.09716288
TCGA-06-5408-01A,0.15996745,0.35371652,0.22118616,0.40213868,0.3481761,0.12905806,0.0,0.3687677,0.13528815,0.7588292,0.0,0.0,0.0,0.08076083,0.0,0.21381673,0.2992464,0.30538148,0.040784154,0.0,0.0,0.25583455,0.18353328,0.26291952,0.2960872,0.18021023,0.18209876,0.07523982,0.0,0.2953839,0.26790598
TCGA-06-5410-01A,0.06567291,0.2579371,0.36563557,0.18973005,0.43937677,0.2950458,0.0,0.29669452,0.037268955,0.31403023,0.0,0.037971824,0.0,0.059294987,0.0,0.5878024,0.39995387,0.18347917,0.11434856,0.0,0.085213564,0.0,0.0,0.10288949,0.1142062,0.36405107,0.29193884,0.17573126,0.0,0.09522607,0.041177996
TCGA-06-5411-01A,0.10556959,0.11411206,0.09479711,0.36010095,0.30100578,0.14425431,0.0,0.13416582,0.20462179,0.4651523,0.0,0.0,0.0,0.08651523,0.0,0.13779391,0.28351066,0.42498928,0.14056568,0.0,0.0,0.09649479,0.18261792,0.29208302,0.0,0.18597157,0.1581395,0.09002553,0.0,0.2463133,0.111083604
TCGA-06-5412-01A,0.07864036,0.2899275,0.40004662,0.2399309,0.41819787,0.31121552,0.0,0.28392828,0.14315759,0.39577237,0.0,0.05445896,0.0,0.15048657,0.0,0.5483001,0.31564382,0.18677485,0.21331945,0.0,0.16927359,0.0,0.0,0.107614845,0.13850544,0.22183666,0.27483252,0.10640756,0.0,0.114198595,0.06755566
TCGA-06-5413-01A,0.12448282,0.26749045,0.13406129,0.2862425,0.5010634,0.23003921,0.011354047,0.18450078,0.25964642,0.6127418,0.0,0.0,0.0,0.084814586,0.0,0.21919215,0.23467906,0.1982286,0.14510499,0.0,0.00062633184,0.113489926,0.0,0.3063356,0.09985079,0.0958983,0.27664256,0.1852002,0.0,0.28738862,0.11822598
TCGA-06-5414-01A,0.15482785,0.4347436,0.32203797,0.33722302,0.4414187,0.24795072,0.0,0.11925199,0.2095705,0.6472063,0.0,0.0,0.0,0.09410506,0.0,0.23124579,0.17054577,0.052252796,0.23181619,0.0,0.022391027,0.16823344,0.0,0.19827625,0.13069327,0.083106086,0.22714914,0.16609605,0.0,0.28257984,0.2106293
TCGA-06-5416-01A,0.30084717,0.15954906,0.07226519,0.33738467,0.22283769,0.032653347,0.0,0.4884454,0.55416256,0.48248017,0.0,0.0,0.0,0.0,0.0,0.05885052,0.6037009,0.4947617,0.0033679563,0.0,0.023115026,0.016621351,0.75782883,0.17865485,0.0044748033,0.24297337,0.39786533,8.534377e-05,0.0,0.37059614,0.18545288
TCGA-06-5417-01A,0.095762484,0.06688109,0.35457355,0.31351328,0.21633312,0.25400823,0.0,0.35731906,0.32571363,0.9356947,0.0,0.0,0.0,0.17927825,0.0,0.03694607,0.13925079,0.2542829,0.26222998,0.0,0.0,0.57957584,0.60382974,0.45232344,0.13874061,0.0,0.19438514,0.0,0.0,0.022184782,0.03158034
TCGA-06-5418-01A,0.16919072,0.35995063,0.19347718,0.35794237,0.2986038,0.12343088,0.0,0.24721256,0.14313121,0.6705426,0.0,0.0,0.0,0.10029172,0.0,0.3217541,0.23001443,0.22222096,0.15472636,0.0,0.0,0.16288777,0.011748329,0.21901934,0.11388725,0.06440346,0.2098736,0.17369685,0.0,0.2537511,0.20023772
TCGA-06-5856-01A,0.14523421,0.32387334,0.23952726,0.2884459,0.47811124,0.1454016,0.0,0.1708871,0.29925346,0.64753044,0.0,0.0,0.0,0.19044872,0.0,0.102931,0.24125266,0.12889484,0.23476116,0.0,0.0,0.1967781,0.14118534,0.3643724,0.15841107,0.12654848,0.20918049,0.15890656,0.0,0.4231762,0.16417354
TCGA-06-5858-01A,0.2118825,0.3658236,0.13485228,0.36018288,0.29858226,0.19661714,0.0,0.2026026,0.07368334,0.5379642,0.0,0.0,0.0,0.0,0.0,0.33441675,0.31578526,0.2313354,0.025489265,0.0,0.0,0.20063451,0.16116232,0.26094484,0.14069213,0.38020462,0.21147977,0.12801774,0.0,0.26275858,0.07502308
TCGA-06-5859-01A,0.12359565,0.28345802,0.17212078,0.34550261,0.35535184,0.28900534,0.0,0.08714894,0.2504461,0.60689,0.0,0.0,0.0,0.10120069,0.0,0.1378901,0.11910629,0.15241882,0.1794637,0.0,0.04265028,0.11711491,0.14506921,0.31165993,0.07181157,0.21356444,0.2618402,0.07992904,0.0,0.14267945,0.11374868
TCGA-06-AABW-11A,0.0,0.010171051,0.0,0.084434226,0.08943273,0.08520901,0.0,0.29583517,0.034521647,0.3040104,0.0,0.002875806,0.0,0.0,1.6611035e-06,0.3399947,0.3434987,0.24776244,0.093475044,0.0,0.20067316,0.073063426,0.0,0.2372918,0.10137451,0.4843978,0.04061699,0.26570758,0.0,0.09118777,0.0
TCGA-12-5295-01A,0.057466578,0.4720431,0.25238302,0.32152316,0.42429116,0.30554768,0.049012,0.36970758,0.2914681,0.6218436,0.0,0.0,0.0,0.1481108,0.0,0.12786461,0.18324596,0.13436964,0.15834323,0.0,0.10139581,0.20291588,0.10170128,0.20371662,0.2318463,0.016592702,0.3076808,0.006114097,0.0,0.11260557,0.1923639
