,0,1,cancer_type
TCGA-22-A5C4-01A,-5.3991694,15.242577,TCGA-LUSC
TCGA-26-1442-01A,36.372246,-6.9289675,TCGA-GBM
TCGA-26-5132-01A,29.257229,-10.373546,TCGA-GBM
TCGA-26-5133-01A,32.390358,-4.096506,TCGA-GBM
TCGA-26-5134-01A,26.819637,-5.524335,TCGA-GBM
TCGA-26-5135-01A,25.282543,-7.807636,TCGA-GBM
TCGA-26-5136-01B,29.193773,-8.158014,TCGA-GBM
TCGA-26-5139-01A,26.06161,-10.188726,TCGA-GBM
TCGA-28-2510-01A,27.478338,-2.3528538,TCGA-GBM
TCGA-28-5204-01A,28.696115,-9.895205,TCGA-GBM
TCGA-28-5207-01A,28.028765,-6.9529095,TCGA-GBM
TCGA-28-5208-01A,27.874434,-10.38453,TCGA-GBM
TCGA-28-5209-01A,28.533953,-10.899639,TCGA-GBM
TCGA-28-5213-01A,24.096045,-5.227098,TCGA-GBM
TCGA-28-5215-01A,25.098068,-7.960082,TCGA-GBM
TCGA-28-5216-01A,24.900484,-7.691492,TCGA-GBM
TCGA-28-5218-01A,10.513769,-8.953929,TCGA-GBM
TCGA-28-5220-01A,27.254683,-8.407423,TCGA-GBM
TCGA-29-A5NZ-01A,11.153182,-10.933317,TCGA-OV
TCGA-2A-A8VL-01A,28.792967,9.10661,TCGA-PRAD
TCGA-2A-A8VO-01A,26.983246,18.40812,TCGA-PRAD
TCGA-2A-A8VT-01A,29.92495,12.509595,TCGA-PRAD
TCGA-2A-A8VV-01A,32.496582,12.576887,TCGA-PRAD
TCGA-2A-A8VX-01A,26.009045,21.657263,TCGA-PRAD
TCGA-2A-A8W1-01A,24.324862,21.73515,TCGA-PRAD
TCGA-2A-A8W3-01A,25.638474,14.5174,TCGA-PRAD
TCGA-2A-AAYF-01A,27.028078,18.353691,TCGA-PRAD
TCGA-2A-AAYO-01A,25.03338,15.578612,TCGA-PRAD
TCGA-2A-AAYU-01A,29.896591,12.747388,TCGA-PRAD
TCGA-2E-A9G8-01A,11.793054,-9.535039,TCGA-UCEC
TCGA-2F-A9KO-01A,-12.085051,4.4157324,TCGA-BLCA
TCGA-2F-A9KP-01A,-12.375488,7.490448,TCGA-BLCA
TCGA-2F-A9KQ-01A,-12.371456,8.3965025,TCGA-BLCA
TCGA-2F-A9KR-01A,-10.900053,7.106187,TCGA-BLCA
TCGA-2F-A9KT-01A,-11.60913,5.6198997,TCGA-BLCA
TCGA-2F-A9KW-01A,-18.557837,5.021675,TCGA-BLCA
TCGA-2G-AAEW-01A,1.4017997,-14.865967,TCGA-TGCT
TCGA-2G-AAEX-01A,1.9196222,-14.854475,TCGA-TGCT
TCGA-2G-AAF1-01A,-1.1090922,-14.215079,TCGA-TGCT
TCGA-2G-AAF4-01A,0.74639285,-14.654082,TCGA-TGCT
TCGA-2G-AAF6-01A,2.2901313,-14.703775,TCGA-TGCT
