,0,1,cancer_type
TCGA-OR-A5K1-01A-11R-A29S-07,-31.747849,-7.913942,TCGA-ACC
TCGA-OR-A5JZ-01A-11R-A29S-07,-32.161247,-7.9370933,TCGA-ACC
TCGA-PK-A5HA-01A-11R-A29S-07,-31.958202,-7.830857,TCGA-ACC
TCGA-OR-A5LJ-01A-11R-A29S-07,-32.34038,-6.583069,TCGA-ACC
TCGA-P6-A5OF-01A-11R-A29S-07,-32.560974,-7.15338,TCGA-ACC
TCGA-OR-A5K5-01A-11R-A29S-07,-31.37967,-6.3913546,TCGA-ACC
TCGA-OR-A5J2-01A-11R-A29S-07,-32.749237,-7.828764,TCGA-ACC
TCGA-OR-A5JF-01A-11R-A29S-07,-32.42734,-7.093495,TCGA-ACC
TCGA-OR-A5KU-01A-11R-A29S-07,-31.787876,-7.1714735,TCGA-ACC
TCGA-OR-A5KV-01A-11R-A29S-07,-31.497202,-6.5278654,TCGA-ACC
TCGA-OR-A5KO-01A-11R-A29S-07,-32.611855,-7.2054057,TCGA-ACC
TCGA-CU-A3QU-01A-11R-A22U-07,-8.900987,21.38696,TCGA-BLCA
TCGA-XF-AAMW-01A-11R-A42T-07,-2.6789923,18.967344,TCGA-BLCA
TCGA-BL-A5ZZ-01A-31R-A30C-07,-1.1348861,17.670998,TCGA-BLCA
TCGA-GU-AATP-01A-11R-A39I-07,-5.810492,20.445572,TCGA-BLCA
TCGA-4Z-AA80-01A-11R-A39I-07,-5.3131104,21.163338,TCGA-BLCA
TCGA-UY-A8OB-01A-12R-A42T-07,-1.9595734,18.102503,TCGA-BLCA
TCGA-XF-AAN8-01A-11R-A42T-07,-7.564186,3.98068,TCGA-BLCA
TCGA-GC-A4ZW-01A-11R-A26T-07,-4.115787,18.97448,TCGA-BLCA
TCGA-GU-A42R-01A-11R-A23N-07,-7.8177204,22.106604,TCGA-BLCA
TCGA-GC-A6I1-01A-12R-A31N-07,-3.1288588,15.965526,TCGA-BLCA
TCGA-CF-A5U8-01A-11R-A28M-07,-9.505268,22.486473,TCGA-BLCA
TCGA-4Z-AA7Y-01A-11R-A39I-07,-9.123628,22.502024,TCGA-BLCA
TCGA-FT-A61P-01A-11R-A30C-07,-3.2565475,17.604721,TCGA-BLCA
TCGA-BT-A3PJ-01A-21R-A220-07,-0.11693759,17.1167,TCGA-BLCA
TCGA-XF-AAMJ-01A-11R-A42T-07,-5.066262,17.765663,TCGA-BLCA
TCGA-E7-A678-01A-11R-A30C-07,-10.499472,20.725782,TCGA-BLCA
TCGA-2F-A9KO-01A-11R-A38B-07,-5.006901,21.744291,TCGA-BLCA
TCGA-FD-A3SR-01A-11R-A22U-07,-7.381164,19.933924,TCGA-BLCA
